entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
80222	TARS2	threonyl-tRNA synthetase 2, mitochondrial	1	protein-coding	COXPD21|TARSL1|thrRS	threonine--tRNA ligase, mitochondrial|threonyl-tRNA synthetase 2, mitochondrial (putative)|threonyl-tRNA synthetase-like 1
80223	RAB11FIP1	RAB11 family interacting protein 1	8	protein-coding	NOEL1A|RCP|rab11-FIP1	rab11 family-interacting protein 1|RAB11 coupling protein|RAB11 family interacting protein 1 (class I)|Rab effector protein|Rab-interacting recycling protein
80224	NUBPL	nucleotide binding protein like	14	protein-coding	C14orf127|IND1|huInd1	iron-sulfur protein NUBPL|IND1 homolog|iron-sulfur protein required for NADH dehydrogenase
80227	PAAF1	proteasomal ATPase associated factor 1	11	protein-coding	PAAF|Rpn14|WDR71	proteasomal ATPase-associated factor 1|WD repeat domain 71|WD repeat-containing protein 71
80228	ORAI2	ORAI calcium release-activated calcium modulator 2	7	protein-coding	C7orf19|CBCIP2|MEM142B|TMEM142B	protein orai-2|CAP-binding protein complex interacting protein 2|H_NH0514P08.8|putative protein ORAI2-2|transmembrane protein 142B
80230	RUFY1	RUN and FYVE domain containing 1	5	protein-coding	RABIP4|ZFYVE12	RUN and FYVE domain-containing protein 1|FYVE-finger protein EIP1|la-binding protein 1|rab4-interacting protein|zinc finger FYVE domain-containing protein 12
80231	CXorf21	chromosome X open reading frame 21	X	protein-coding		uncharacterized protein CXorf21|5430427O19Rik
80232	WDR26	WD repeat domain 26	1	protein-coding	CDW2|GID7|MIP2|SKDEAS	WD repeat-containing protein 26|CUL4- and DDB1-associated WDR protein 2|GID complex subunit 7 homolog|myocardial ischemic preconditioning upregulated protein 2
80233	FAAP100	Fanconi anemia core complex associated protein 100	17	protein-coding	C17orf70	Fanconi anemia core complex-associated protein 100|Fanconi anemia associated protein 100 kDa subunit|Fanconi anemia core complex 100 kDa subunit|Fanconi anemia-associated protein, 100kDa|fanconi anemia-associated protein of 100 kDa
80235	PIGZ	phosphatidylinositol glycan anchor biosynthesis class Z	3	protein-coding	GPI-MT-IV|PIG-Z|SMP3	GPI mannosyltransferase 4|GPI mannosyltransferase IV|SMP3 mannosyltransferase|dol-P-Man dependent GPI mannosyltransferase|phosphatidylinositol glycan, class Z|phosphatidylinositol-glycan biosynthesis class Z protein
80237	ELL3	elongation factor for RNA polymerase II 3	15	protein-coding		RNA polymerase II elongation factor ELL3|elongation factor RNA polymerase II-like 3
80243	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	8	protein-coding	DEP.2|DEPDC2|P-REX2|PPP1R129	phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein|DEP domain-containing protein 2|PtdIns(3,4,5)-dependent Rac exchanger 2|protein phosphatase 1, regulatory subunit 129
80254	CEP63	centrosomal protein 63	3	protein-coding	SCKL6	centrosomal protein of 63 kDa|centrosomal protein 63kDa|centrosome protein CEP63
80255	SLC35F5	solute carrier family 35 member F5	2	protein-coding		solute carrier family 35 member F5|HCV NS5A-transactivated protein 3|hepatitis C virus NS5A-transactivated protein 3
80256	FAM214B	family with sequence similarity 214 member B	9	protein-coding	KIAA1539	protein FAM214B
80258	EFHC2	EF-hand domain containing 2	X	protein-coding	MRX74|dJ1158H2.1	EF-hand domain-containing family member C2|EF-hand domain (C-terminal) containing 2|mental retardation, X-linked 74
80262	C16orf70	chromosome 16 open reading frame 70	16	protein-coding	C16orf6|LIN10|lin-10	UPF0183 protein C16orf70|lin-10 homolog
80263	TRIM45	tripartite motif containing 45	1	protein-coding	RNF99	tripartite motif-containing protein 45|ring finger protein 99
80264	ZNF430	zinc finger protein 430	19	protein-coding		zinc finger protein 430
80267	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3	1	protein-coding	C1orf22	ER degradation-enhancing alpha-mannosidase-like protein 3|ER degradation enhancer, mannosidase alpha-like 3|ER degradation-enhancing -mannosidase-like protein 3|ER degradation-enhancing alpha-mannosidase-like 3|alpha-1,2-mannosidase EDEM3
80270	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	16	protein-coding	CBAS1|PFIC4|SDR11E3	3 beta-hydroxysteroid dehydrogenase type 7|3 beta-hydroxy-delta 5-C27-steroid oxidoreductase|3 beta-hydroxysteroid dehydrogenase type VII|3-beta-HSD VII|3-beta-hydroxy-Delta(5)-C27 steroid oxidoreductase|C(27)-3BETA-HSD|c(27) 3-beta-HSD|cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase|short chain dehydrogenase/reductase family 11E, member 3
80271	ITPKC	inositol-trisphosphate 3-kinase C	19	protein-coding	IP3-3KC|IP3KC	inositol-trisphosphate 3-kinase C|IP3 3-kinase C|IP3K C|InsP 3 kinase C|inositol 1,4,5-trisphosphate 3-kinase C|insP 3-kinase C
80273	GRPEL1	GrpE like 1, mitochondrial	4	protein-coding	GrpE|HMGE|mt-GrpE#1	grpE protein homolog 1, mitochondrial|GrpE-like protein cochaperone
80274	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1	22	protein-coding		signal peptide, CUB and EGF-like domain-containing protein 1|signal peptide, CUB domain, EGF-like 1|signal peptide-CUB domain-EGF-related 1
80279	CDK5RAP3	CDK5 regulatory subunit associated protein 3	17	protein-coding	C53|HSF-27|IC53|LZAP|MST016|OK/SW-cl.114|PP1553	CDK5 regulatory subunit-associated protein 3|CDK5 regulatory subunit associated protein IC53-2|LXXLL/leucine-zipper-containing ARF-binding protein|LXXLL/leucine-zipper-containing ARFbinding protein|ischemic heart CDK5 activator-binding protein C53
80298	MTERF2	mitochondrial transcription termination factor 2	12	protein-coding	MTERFD3|mTERFL	transcription termination factor 2, mitochondrial|MTERF domain containing 3|mTERF domain-containing protein 3, mitochondrial|mTERF-like|mitochondrial transcription termination factor-like protein
80301	PLEKHO2	pleckstrin homology domain containing O2	15	protein-coding	PLEKHQ1|PP1628|pp9099	pleckstrin homology domain-containing family O member 2|PH domain-containing family O member 2|PH domain-containing family Q member 1|PH domain-containing protein|pleckstrin homology domain-containing family Q member 1
80303	EFHD1	EF-hand domain family member D1	2	protein-coding	MST133|MSTP133|PP3051|SWS2	EF-hand domain-containing protein D1|EF-hand domain-containing protein 1|swiprosin-2
80304	WDCP	WD repeat and coiled coil containing	2	protein-coding	C2orf44|PP384	WD repeat and coiled-coil-containing protein|WD repeat and coiled-coil-containing protein C2orf44|WD repeat-containing protein C2orf44
80305	TRABD	TraB domain containing	22	protein-coding	LP6054|PP2447	traB domain-containing protein
80306	MED28	mediator complex subunit 28	4	protein-coding	1500003D12Rik|EG1|magicin	mediator of RNA polymerase II transcription subunit 28|endothelial-derived gene 1|endothelial-derived protein 1|mediator of RNA polymerase II transcription, subunit 28 homolog|merlin and Grb2-interacting cytoskeletal protein|tumor angiogenesis marker EG-1
80307	FER1L4	fer-1 like family member 4, pseudogene	20	pseudo	C20orf124	fer-1 like family member 4, pseudogene (functional)|fer-1-like 4, pseudogene (functional)
80308	FLAD1	flavin adenine dinucleotide synthetase 1	1	protein-coding	FAD1|FADS|LSMFLAD|PP591	FAD synthase|FAD pyrophosphorylase|FAD-synthetase|FMN adenylyltransferase|Fad1, flavin adenine dinucleotide synthetase, homolog
80309	SPHKAP	SPHK1 interactor, AKAP domain containing	2	protein-coding	SKIP	A-kinase anchor protein SPHKAP|SPHK1 (sphingosine kinase type 1) interacting protein|SPHK1-interactor and AKAP domain-containing protein|sphingosine kinase type 1-interacting protein
80310	PDGFD	platelet derived growth factor D	11	protein-coding	IEGF|MSTP036|SCDGF-B|SCDGFB	platelet-derived growth factor D|PDGF-D|iris-expressed growth factor|spinal cord-derived growth factor B
80311	KLHL15	kelch like family member 15	X	protein-coding	HEL-S-305	kelch-like protein 15|epididymis secretory protein Li 305|kelch-like 15
80312	TET1	tet methylcytosine dioxygenase 1	10	protein-coding	CXXC6|LCX|bA119F7.1	methylcytosine dioxygenase TET1|CXXC finger 6|CXXC zinc finger 6|CXXC-type zinc finger protein 6|TET1 splice variant VP_DE4|TET1 splice variant VP_DE456|leukemia-associated protein with a CXXC domain|ten-eleven translocation 1 gene protein|ten-eleven translocation-1|tet oncogene 1
80313	LRRC27	leucine rich repeat containing 27	10	protein-coding		leucine-rich repeat-containing protein 27|testicular tissue protein Li 108
80314	EPC1	enhancer of polycomb homolog 1	10	protein-coding	Epl1	enhancer of polycomb homolog 1
80315	CPEB4	cytoplasmic polyadenylation element binding protein 4	5	protein-coding	CPE-BP4|hCPEB-4	cytoplasmic polyadenylation element-binding protein 4|CPE-binding protein 4
80316	PPP1R2C	PPP1R2C family member C	X	protein-coding	I-4|PPP1R2P9	protein phosphatase inhibitor 2 family member C|PPP1R2 family member B|protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 9|protein phosphatase 1 regulatory inhibitor subunit 2-like 9|putative type-1 protein phosphatase inhibitor 4|type 1 protein phosphatase inhibitor|type-1 protein phosphatase inhibitor 4
80317	ZKSCAN3	zinc finger with KRAB and SCAN domains 3	6	protein-coding	ZF47|ZFP306|ZNF306|ZNF309|ZSCAN13|ZSCAN35|Zfp47|dJ874C20.1|dJ874C20.1.|zfp-47	zinc finger protein with KRAB and SCAN domains 3|zinc finger and SCAN domain-containing protein 13|zinc finger protein 306|zinc finger protein 309|zinc finger protein 47 homolog|zinc finger protein zfp47
80318	GKAP1	G kinase anchoring protein 1	9	protein-coding	FKSG21|GKAP42	G kinase-anchoring protein 1|cGMP-dependent protein kinase anchoring protein 42kDa|cGMP-dependent protein kinase-anchoring protein of 42 kDa|protein kinase anchoring protein GKAP42
80319	CXXC4	CXXC finger protein 4	4	protein-coding	IDAX	CXXC-type zinc finger protein 4|CXXC finger 4|Dvl-binding protein IDAX (inhibition of the Dvl and Axin complex)|inhibition of the Dvl and axin complex protein
80320	SP6	Sp6 transcription factor	17	protein-coding	EPFN|EPIPROFIN|KLF14	transcription factor Sp6|Kruppel-like factor 14|krueppel-like factor 14
80321	CEP70	centrosomal protein 70	3	protein-coding	BITE	centrosomal protein of 70 kDa|centrosomal protein 70kDa|p10-binding protein|testicular tissue protein Li 36
80323	CCDC68	coiled-coil domain containing 68	18	protein-coding	SE57-1	coiled-coil domain-containing protein 68|CTCL tumor antigen se57-1|CTCL-associated antigen se57-1|cutaneous T-cell lymphoma associated antigen|cutaneous T-cell lymphoma-associated antigen se57-1
80324	PUS1	pseudouridylate synthase 1	12	protein-coding	MLASA1	tRNA pseudouridine synthase A|mitochondrial tRNA pseudouridine synthase A|tRNA pseudouridine synthase A, mitochondrial|tRNA pseudouridine(38-40) synthase|tRNA pseudouridylate synthase I|tRNA uridine isomerase I
80325	ABTB1	ankyrin repeat and BTB domain containing 1	3	protein-coding	BPOZ|BTB3|BTBD21|EF1ABP|PP2259	ankyrin repeat and BTB/POZ domain-containing protein 1|ankyrin repeat and BTB (POZ) domain containing 1|elongation factor 1A-binding protein
80326	WNT10A	Wnt family member 10A	2	protein-coding	OODD|SSPS|STHAG4	protein Wnt-10a|wingless-type MMTV integration site family, member 10A
80327	MAPRE1P1	MAPRE1 pseudogene 1	8	pseudo	MAPRE1P	MAPRE1P pseudogene|microtubule-associated protein, RP/EB family, member 1 pseudogene
80328	ULBP2	UL16 binding protein 2	6	protein-coding	ALCAN-alpha|N2DL2|NKG2DL2|RAET1H|RAET1L	UL16-binding protein 2|NKG2D ligand 2|retinoic acid early transcript 1H|retinoic acid early transcript 1L
80329	ULBP1	UL16 binding protein 1	6	protein-coding	N2DL-1|NKG2DL1|RAET1I	UL16-binding protein 1|NKG2D ligand 1|alcan-beta|retinoic acid early transcript 1I
80331	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	20	protein-coding	CLN4|CLN4B|CSP|DNAJC5A|NCL|mir-941-2|mir-941-3|mir-941-4|mir-941-5	dnaJ homolog subfamily C member 5|DnaJ (Hsp40) homolog, subfamily C, member 5|ceroid-lipofuscinosis neuronal protein 4|cysteine string protein alpha
80332	ADAM33	ADAM metallopeptidase domain 33	20	protein-coding	C20orf153|DJ964F7.1	disintegrin and metalloproteinase domain-containing protein 33|ADAM 33|a disintegrin and metalloprotease 33|a disintegrin and metalloproteinase domain 33|disintegrin and reprolysin metalloproteinase family protein
80333	KCNIP4	potassium voltage-gated channel interacting protein 4	4	protein-coding	CALP|KCHIP4	Kv channel-interacting protein 4|Kv channel interacting protein 4|a-type potassium channel modulatory protein 4|calsenilin-like protein
80335	WDR82	WD repeat domain 82	3	protein-coding	MST107|MSTP107|PRO2730|PRO34047|SWD2|TMEM113|WDR82A	WD repeat-containing protein 82|transmembrane protein 113
80336	PABPC1L	poly(A) binding protein cytoplasmic 1 like	20	protein-coding	C20orf119|EPAB|PABPC1L1|dJ1069P2.3	polyadenylate-binding protein 1-like|embryonic poly(A) binding protein
80339	PNPLA3	patatin like phospholipase domain containing 3	22	protein-coding	ADPN|C22orf20|iPLA(2)epsilon	patatin-like phospholipase domain-containing protein 3|acylglycerol O-acyltransferase|adiponutrin|calcium-independent phospholipase A2-epsilon|iPLA2-epsilon|iPLA2epsilon
80341	BPIFB2	BPI fold containing family B member 2	20	protein-coding	BPIL1|C20orf184|LPLUNC2|RYSR|dJ726C3.2	BPI fold-containing family B member 2|BPI-like 1|bactericidal/permeability-increasing protein-like 1|long palate, lung and nasal epithelium carcinoma-associated protein 2
80342	TRAF3IP3	TRAF3 interacting protein 3	1	protein-coding	T3JAM	TRAF3-interacting JNK-activating modulator|TRAF3 interacting Jun N terminal kinase (JNK) activating modulator
80343	SEL1L2	SEL1L2 ERAD E3 ligase adaptor subunit	20	protein-coding	C20orf50	protein sel-1 homolog 2|sel-1 suppressor of lin-12-like 2|sel-1L2|suppressor of lin-12-like protein 2
80344	DCAF11	DDB1 and CUL4 associated factor 11	14	protein-coding	GL014|PRO2389|WDR23	DDB1- and CUL4-associated factor 11|WD repeat domain 23|WD repeat-containing protein 23
80345	ZSCAN16	zinc finger and SCAN domain containing 16	6	protein-coding	ZNF392|ZNF435|dJ265C24.3	zinc finger and SCAN domain-containing protein 16|zinc finger protein 392|zinc finger protein 435
80346	REEP4	receptor accessory protein 4	8	protein-coding	C8orf20|PP432|Yip2c	receptor expression-enhancing protein 4
80347	COASY	Coenzyme A synthase	17	protein-coding	DPCK|NBIA6|NBP|PPAT|UKR1|pOV-2	bifunctional coenzyme A synthase|CoA synthase|bifunctional phosphopantetheine adenylyl transferase/dephospho CoA kinase|nucleotide binding protein|phosphopantetheine adenylyltransferase / dephosphocoenzyme A kinase
80349	WDR61	WD repeat domain 61	15	protein-coding	REC14|SKI8	WD repeat-containing protein 61|SKI8 homolog|meiotic recombination REC14 protein homolog|recombination protein REC14
80350	LPAL2	lipoprotein(a) like 2, pseudogene	6	pseudo	APOA2|APOAL|APOARGC|apo(a)rg-C	apolipoprotein (a) related gene C|apolipoprotein A-II|lipoprotein, Lp(a)-like 2, pseudogene
80351	TNKS2	tankyrase 2	10	protein-coding	ARTD6|PARP-5b|PARP-5c|PARP5B|PARP5C|TANK2|TNKL|pART6	tankyrase-2|ADP-ribosyltransferase diphtheria toxin-like 6|TNKS-2|TRF1-interacting ankyrin-related ADP-ribose polymerase 2|poly [ADP-ribose] polymerase 5B|tankyrase II|tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2|tankyrase-like protein|tankyrase-related protein
80352	RNF39	ring finger protein 39	6	protein-coding	HZF|HZFW|LIRF	RING finger protein 39|LTP (long-term potentiation) induced RING finger protein|protein HZFw
80380	PDCD1LG2	programmed cell death 1 ligand 2	9	protein-coding	B7DC|Btdc|CD273|PD-L2|PDCD1L2|PDL2|bA574F11.2	programmed cell death 1 ligand 2|B7 dendritic cell molecule|B7-DC|PD-1-ligand 2|PDCD1 ligand 2|butyrophilin B7-DC|programmed death ligand 2
80381	CD276	CD276 molecule	15	protein-coding	4Ig-B7-H3|B7-H3|B7H3|B7RP-2	CD276 antigen|B7 homolog 3|costimulatory molecule
80700	UBXN6	UBX domain protein 6	19	protein-coding	UBXD1|UBXDC2	UBX domain-containing protein 6|CTB-50L17.16|UBX domain containing 1|UBX domain-containing 2|UBX domain-containing protein 1
80701	AKR1D1P1	aldo-keto reductase family 1 member D1 pseudogene 1	1	pseudo	AKR1D1P|SRD5BP1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) pseudogene|steroid-5-beta-reductase, beta polypeptide pseudogene 1
80704	SLC19A3	solute carrier family 19 member 3	2	protein-coding	BBGD|THMD2|THTR2	thiamine transporter 2|solute carrier family 19 (thiamine transporter), member 3|thTr-2
80705	TSGA10	testis specific 10	2	protein-coding	CEP4L|CT79	testis-specific gene 10 protein|cancer/testis antigen 79|testis development protein NYD-SP7|testis-specific 10 protein
80709	AKNA	AT-hook transcription factor	9	protein-coding		AT-hook-containing transcription factor|AKNA transcript F2|AT-hook transcription factor AKNA
80712	ESX1	ESX homeobox 1	X	protein-coding	ESX1L|ESXR1	homeobox protein ESX1|ESX1-related protein|extraembryonic, spermatogenesis, homeobox 1 homolog
80713	MTIF2P1	mitochondrial translational initiation factor 2 pseudogene 1	1	pseudo		
80714	PBX4	PBX homeobox 4	19	protein-coding		pre-B-cell leukemia transcription factor 4|homeobox protein PBX4|pre-B-cell leukemia homeobox 4
80723	SLC35G2	solute carrier family 35 member G2	3	protein-coding	TMEM22	solute carrier family 35 member G2|transmembrane protein 22
